population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2012,1193.729487,1256.737674,1138.665629573773
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2012,272.17529906323404,295.04111379693194,246.94550265594728
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2012,1690.3477848883863,1767.130835077568,1611.7049894334464
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2012,410.7237009,440.80906949903545,382.81519157504624
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2013,1212.8661377881465,1278.7345606675528,1149.1141063477999
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2013,292.19872909382576,316.91652772529955,263.3385645924262
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2013,1701.5631535526175,1776.9121031954562,1625.919097155514
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2013,420.3038763771597,445.6660207611806,391.68946905053025
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2014,1187.068367696912,1244.931945126958,1129.5985601284658
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2014,288.8061221533055,315.08180716386096,261.8921850991424
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2014,1667.5230080048398,1738.1837457699353,1596.3623613017273
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2014,405.53693331975137,428.8629521989652,380.21543565324373
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2015,1213.528699594534,1272.990346801006,1147.1665946401445
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2015,303.23545274219816,331.60111811378044,277.8300695607236
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2015,1701.5036122002023,1772.7057763871303,1619.6949959179803
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2015,421.00725308201856,445.79619254899535,394.73058411451524
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2016,1225.3704697992944,1291.7881743918595,1156.1898068746718
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2016,303.82252022268403,332.1046918385506,277.98906947502417
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2016,1722.6594531280089,1790.8450133757426,1640.5342562460742
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2016,427.62796075037363,453.0913834793512,402.11688340297377
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2017,1258.0230543067687,1330.6441780069413,1187.9984691198783
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2017,305.6366183159962,333.1481764727155,280.184241
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2017,1774.6344917694435,1860.913261693598,1693.6086394952697
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2017,434.3508266980404,459.45945723674055,407.07574382810645
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2018,1294.4911320251467,1357.3433668231828,1220.9669592022444
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2018,310.3764668485941,336.0518319615524,283.6309089737263
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2018,1836.2706473805654,1921.454458869788,1759.4543364206625
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2018,450.31652022852853,475.45617726152847,420.82329493300733
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2019,1303.2898959275115,1371.5291851096583,1228.3461621160313
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2019,314.5287313424738,342.9001897533681,292.6692657
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2019,1869.8164393950647,1952.2545332164698,1777.2353964137471
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2019,459.0744486,484.43286736463125,432.82674070726057
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2020,1409.9185768990267,1482.4431314878111,1335.2002557019985
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2020,328.17569914191137,358.0061139042881,303.31274976116407
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2020,2066.8424505364756,2156.729660585302,1970.3270063921675
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2020,485.8351968,513.4450625058989,463.12850935284837
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2021,1456.2581134553177,1531.696894916023,1384.8947969530868
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2021,335.7372522918321,364.4715925680522,308.0301471401818
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2021,2112.2337556605894,2213.827571413382,2007.0001642791483
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2021,517.5510914367484,547.7981146614553,490.1145328182926
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,1,Number,2022,1465.5084441023255,1557.8652486348085,1378.4505003076922
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,1,Number,2022,353.1187226700175,388.8820167144526,320.9248573029528
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,1,Number,2022,2166.5695179806976,2289.4321646229946,2047.3142197442137
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,1,Number,2022,546.4307572470495,586.6654633381582,504.2224926853998
