population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,3,Rate,2012,68.27689476508206,71.88072911180522,65.12744654106432
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,3,Rate,2012,15.329433986050784,16.61728045376443,13.908443544088792
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,3,Rate,2012,112.01167386779615,117.09973802432896,106.80037283536853
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,3,Rate,2012,26.632701393005796,28.583537528156565,24.823020105210702
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,3,Rate,2013,67.49670237218389,71.1623182190607,63.9488649335046
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,3,Rate,2013,15.978526789722753,17.33018909448642,14.400344320991532
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,3,Rate,2013,110.40814715188979,115.29726214156133,105.49988377511177
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,3,Rate,2013,26.726172205434214,28.338893563488455,24.906646807858102
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,3,Rate,2014,64.3228794111059,67.45829436664825,61.20880139959548
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,3,Rate,2014,15.347350832965029,16.743658339283808,13.917126185416477
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,3,Rate,2014,105.69377255897419,110.1725113291992,101.18334771225068
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,3,Rate,2014,25.198925184399638,26.648338434570263,23.625518491125238
1,All Population,1,Deaths,4749,England,1,Male,15,50-54 years,493,Ischemic heart disease,3,Rate,2015,64.16248053787143,67.30637551366374,60.65374006143203
1,All Population,1,Deaths,4749,England,2,Female,15,50-54 years,493,Ischemic heart disease,3,Rate,2015,15.686731350719125,17.154121025127335,14.372480601916706
1,All Population,1,Deaths,4749,England,1,Male,16,55-59 years,493,Ischemic heart disease,3,Rate,2015,104.84374168619459,109.23109723218677,99.80283470739171
1,All Population,1,Deaths,4749,England,2,Female,16,55-59 years,493,Ischemic heart disease,3,Rate,2015,25.451516187345298,26.950103419494397,23.862989954887155
