sex_age_cat,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
female_0,0.048973353009764624,4.191635527477773e-5,0,0.04030173613678012,1.2834369107477102e-5,0,NA,NA,NA,0.03378372694489547,4.85863111006649e-5,0,NA,NA,NA
female_1,0.04256317161782762,4.8607192955436043e-5,0,0.03203224323711954,2.6546645171900472e-5,0,NA,NA,NA,0.031609612206404375,5.5091669033636425e-5,0,NA,NA,NA
female_2,0.03964487728084801,5.23660673571385e-5,0,0.028530389145216127,3.804611629178876e-5,0,NA,NA,NA,0.030564090303033073,5.865578306715341e-5,0,NA,NA,NA
female_3,0.03697852429964073,5.643121554954765e-5,0,0.025384674684527396,5.4187561706523276e-5,0,NA,NA,NA,0.029542943987483403,6.250219760704777e-5,0,NA,NA,NA
female_4,0.03444249048782383,6.0715831059571526e-5,0,0.02252286248010708,7.677145989526675e-5,0,NA,NA,NA,0.028556598979409903,6.65804401833709e-5,0,NA,NA,NA
female_5,0.032145988293625555,6.540063741261281e-5,0,0.020034238754710276,1.0766614671510566e-4,0,NA,NA,NA,0.02761721637794426,7.098856400431915e-5,0,NA,NA,NA
female_6,0.030029700421935757,7.037267544571739e-5,0,0.017864596181614595,1.4908527179911005e-4,0,NA,NA,NA,0.026691401489459088,7.565792930069602e-5,0,NA,NA,NA
female_7,0.028094309801213,7.57527259382183e-5,0,0.015902487163238728,2.0325708613268544e-4,0,NA,NA,NA,0.025755426746820832,8.056645679564413e-5,0,NA,NA,NA
female_8,0.026289649582028632,8.15381481955974e-5,0,0.014132686905613746,2.716107322192591e-4,0,NA,NA,NA,0.024884304901772826,8.593840201846187e-5,0,NA,NA,NA
female_9,0.024625334619408155,8.772501419802862e-5,0,0.01254778395865533,3.560875541047847e-4,0,NA,NA,NA,0.02402393214132025,9.161804644973347e-5,0,NA,NA,NA
female_10,0.023048657574089207,9.423080436049918e-5,0,0.011129585750173476,4.560708401414176e-4,0,NA,NA,NA,0.02319133312564315,9.767802621279044e-5,0,NA,NA,NA
female_11,0.02158580557899236,1.0123546224710747e-4,0,0.009890472981267585,5.714928424364681e-4,0,NA,NA,NA,0.022389082143236053,1.042372489831564e-4,0,NA,NA,NA
female_12,0.020233329386592513,1.0848668252892341e-4,0,0.008767039056491586,6.993216436038461e-4,0,NA,NA,NA,0.021629086863686194,1.1117980557201883e-4,0,NA,NA,NA
female_13,0.018981782045501487,1.1613439797216127e-4,0,0.007779180835750345,8.359754121212838e-4,0,NA,NA,NA,0.020891628524070564,1.1855092684156345e-4,0,NA,NA,NA
female_14,0.017760847975780966,1.2402568973994029e-4,0,0.006893044371255815,9.761663782212522e-4,0,NA,NA,NA,0.020216883986246888,1.2632594865830398e-4,0,NA,NA,NA
female_15,0.01663370991476662,1.3217362117620392e-4,0,0.006111805131452743,0.0011133511499995235,0,NA,NA,NA,0.019539010865564792,1.3452610205944354e-4,0,NA,NA,NA
female_16,0.015566997091119842,1.4041808700390767e-4,0,0.005422422799974198,0.0012454738841043223,0,NA,NA,NA,0.018925487094011602,1.4317690271503335e-4,0,NA,NA,NA
female_17,0.01455373009563598,1.4887345185670756e-4,0,0.004814940751764493,0.0013666838373379523,0,NA,NA,NA,0.018330515527186297,1.5237702488519087e-4,0,NA,NA,NA
female_18,0.013622762169311527,1.575652698037976e-4,0,0.0042858239568209,0.0014765897132740411,0,NA,NA,NA,0.017774947968107874,1.6194526490921805e-4,0,NA,NA,NA
