age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_strk,ylds_rate_strk,dw_adj_strk,prevalence_strk,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
0,female,0_female,0,0,0.04949699145168773,0,1.7402103395085126e-6,0,0,0,9.035674964150892e-5,0,0,0,1.7990098137840203e-5,0,0,0,5.8645919555132145e-5,0,0,0.048973353009764624,4.191635527477773e-5,0,0.04030173613678012,1.2834369107477102e-5,0,0,0,0,0.03378372694489547,4.85863111006649e-5,0,0,0,0
1,female,1_female,0,0,0.05123251590108423,0,2.094805074452466e-6,0,0,0,9.487621193529132e-5,0,0,0,1.9624169186286312e-5,0,0,0,6.6410086152085e-5,0,0,0.04256317161782762,4.8607192955436043e-5,0,0.03203224323711954,2.6546645171900472e-5,0,0,0,0,0.031609612206404375,5.5091669033636425e-5,0,0,0,0
2,female,2_female,0,0,0.05302889344530755,0,2.521653963503729e-6,0,0,0,9.962172861356567e-5,0,0,0,2.1406665672487724e-5,0,0,0,7.52021551743477e-5,0,0,0.03964487728084801,5.23660673571385e-5,0,0.028530389145216127,3.804611629178876e-5,0,0,0,0,0.030564090303033073,5.865578306715341e-5,0,0,0,0
3,female,3_female,0,0,0.05488825779048401,0,3.0354799065569773e-6,0,0,0,1.046046064605083e-4,0,0,0,2.3351069330053147e-5,0,0,0,8.515821120778813e-5,0,0,0.03697852429964073,5.643121554954765e-5,0,0.025384674684527396,5.4187561706523276e-5,0,0,0,0,0.029542943987483403,6.250219760704777e-5,0,0,0,0
4,female,4_female,0,0,0.05681281745737086,0,3.654005821761732e-6,0,0,0,1.0983671780282504e-4,0,0,0,2.547208646126257e-5,0,0,0,9.643235515388479e-5,0,0,0.03444249048782383,6.0715831059571526e-5,0,0.02252286248010708,7.677145989526675e-5,0,0,0,0,0.028556598979409903,6.65804401833709e-5,0,0,0,0
5,female,5_female,0,0,0.05880485840459906,0,4.398565945578263e-6,0,0,0,1.1533052879704684e-4,0,0,0,2.7785759166711322e-5,0,0,0,1.0919908941998201e-4,0,0,0.032145988293625555,6.540063741261281e-5,0,0.020034238754710276,1.0766614671510566e-4,0,0,0,0,0.02761721637794426,7.098856400431915e-5,0,0,0,0
6,female,6_female,0,0,0.060866746743895306,0,5.294841694661752e-6,0,0,0,1.2109912913170064e-4,0,0,0,3.0309586678130895e-5,0,0,0,1.236560188862384e-4,0,0,0.030029700421935757,7.037267544571739e-5,0,0.017864596181614595,1.4908527179911005e-4,0,0,0,0,0.026691401489459088,7.565792930069602e-5,0,0,0,0
7,female,7_female,0,0,0.06300093155050847,0,6.373747470970992e-6,0,0,0,1.2715626321512012e-4,0,0,0,3.306265771207511e-5,0,0,0,1.4002690945512345e-4,0,0,0.028094309801213,7.57527259382183e-5,0,0.015902487163238728,2.0325708613268544e-4,0,0,0,0,0.025755426746820832,8.056645679564413e-5,0,0,0,0
8,female,8_female,0,0,0.06520994777217892,0,7.67249696334958e-6,0,0,0,1.3351636292321083e-4,0,0,0,3.6065794845515545e-5,0,0,0,1.5856515152401892e-4,0,0,0.026289649582028632,8.15381481955974e-5,0,0.014132686905613746,2.716107322192591e-4,0,0,0,0,0.024884304901772826,8.593840201846187e-5,0,0,0,0
9,female,9_female,0,0,0.06749641924010538,0,9.235886724523883e-6,0,0,0,1.4019458198519014e-4,0,0,0,3.9341712005316496e-5,0,0,0,1.7955768198892521e-4,0,0,0.024625334619408155,8.772501419802862e-5,0,0.01254778395865533,3.560875541047847e-4,0,0,0,0,0.02402393214132025,9.161804644973347e-5,0,0,0,0
