sex,age,inc_num_diff_ishd,inc_num_diff_copd,inc_num_diff_dmt2,mx_num_diff_ishd,mx_num_diff_copd,mx_num_diff_dmt2,incidence_disease_sc_ishd,incidence_disease_sc_copd,incidence_disease_sc_dmt2,incidence_disease_bl_ishd,incidence_disease_bl_copd,incidence_disease_bl_dmt2,mx_sc_ishd,mx_sc_copd,mx_sc_dmt2,mx_bl_ishd,mx_bl_copd,mx_bl_dmt2,px_sc_ishd,px_sc_copd,px_sc_dmt2,px_bl_ishd,px_bl_copd,px_bl_dmt2,Lx_sc,ex_sc,Lwx_sc,ewx_sc,Lx_bl,ex_bl,Lwx_bl,ewx_bl,Lx_diff,Lwx_diff,ex_diff,ewx_diff
female,52,-43.57963605162763,0.11559520225591768,-302.3306738699075,0,0,0,0.0011923255916949226,0.00201647804835501,0.0052262931006009546,0.00122134870596076,0.00201647804835501,0.00542752284094954,0,0,0,0,0,0,0,0,0,0,0,0,1503961.6296400088,33.87030238380577,1250236.02709162,26.216485481025654,1503904.3043433856,33.61242299142913,1250188.3728498565,26.03632077601442,57.32529662316665,47.654241763520986,0.25787939237664403,0.18016470501123294
female,53,-47.2808034487839,0.3875029373707548,-305.39086435314584,-0.7177587974008652,0.0010400287526337593,-0.364486555716967,0.0013044235666009381,0.00220512677916872,0.005361198681132838,0.00133617532508722,0.00220512677916872,0.00556762273692058,1.9766312918320585e-5,5.906489921006025e-6,6.3478865047240065e-6,2.024717430065427e-5,5.906489921006025e-6,6.591640544592498e-6,0.0011821651442188133,0.0020114542352326842,0.005209563390340738,0.0012109235999633098,0.0020114542352326842,0.005409605689005708,1500066.3275715124,32.95373224797133,1244604.7816780375,25.449695589749354,1499890.245199995,32.69774203225172,1244458.6861637714,25.27104105634336,176.08237151731737,146.09551426605321,0.25599021571961345,0.17865453340599302
female,54,-51.22418823693533,0.7267743040260939,-307.92658905955886,-1.5623046671329064,0.0037283354806270097,-0.7502421655863429,0.001426021560977352,0.00240429053139716,0.005493517213781745,0.00146073320937111,0.00240429053139716,0.00570503597502433,4.332904068537067e-5,1.228214489298978e-5,1.3169993548171583e-5,4.438245692018052e-5,1.228214489298978e-5,1.367430970237695e-5,0.0024535884981450504,0.004200622521928136,0.010519070611177824,0.002513238467847275,0.004200622521928136,0.010921871999055996,1495873.3656471248,32.04115103679673,1238820.2466195475,24.687430708947318,1495569.8082869803,31.787126167684086,1238568.8530107075,24.510344482906937,303.5573601445649,251.3936088399496,0.25402486911264077,0.17708622604038027
female,55,-55.46184598447326,1.1451313046186442,-310.0150056823368,-2.549085106939131,0.00851346068110459,-1.1647429429672584,0.001559156197564521,0.00261548929084874,0.005624804142451169,0.00159710855621169,0.00261548929084874,0.0058413778889498,7.12392706141301e-5,1.9316939853978182e-5,2.061915859006708e-5,7.297008397332772e-5,1.9316939853978182e-5,2.1406484823102737e-5,0.0038193917055605276,0.006576260362004217,0.015923594461512428,0.003912182716874004,0.006576260362004217,0.016531616673565844,1491347.8928339174,31.133021375537794,1232783.6031606186,23.929973526575687,1490907.16771154,30.881046537852477,1232419.2893026795,23.754520209316507,440.72512237750925,364.3138579390943,0.25197483768531725,0.1754533172591799
female,56,-59.95931799404252,1.6566525808766528,-311.37721156968473,-3.692523839912525,0.016021267433785624,-1.616007808415823,0.0017035562319237185,0.00284118473330676,0.005750141239170643,0.00174502351864623,0.00284118473330676,0.00597154088252263,1.0405494161743178e-4,2.7225357312164812e-5,2.8865671000659647e-5,1.06581245749288e-4,2.7225357312164812e-5,2.996468739318302e-5,0.005286077354790887,0.009148234896266122,0.021419614957518866,0.005414407766164533,0.009148234896266122,0.022235120325371845,1486457.4328953668,30.229718821218633,1226396.412611347,23.177583420305968,1485868.964312564,29.97988497200604,1225910.8987022955,23.00383222951007,588.468582802685,485.5139090514276,0.24983384921259244,0.17375119079589751
female,57,-64.71349634363105,2.2766847755583512,-311.76683496911755,-5.008020791651489,0.02714218411814784,-2.1124673313302083,0.001859902435954018,0.00308238029967447,0.005864757316194312,0.001905175439652,0.00308238029967447,0.00609057006133284,1.424023639740019e-4,3.6309187268066255e-5,3.8096386285998843e-5,1.4585709316337545e-4,3.6309187268066255e-5,3.9542554869633776e-5,0.006859242522536379,0.011928395025702128,0.026998674646128783,0.0070256362840100395,0.011928395025702128,0.028023543061312002,1481173.4793266272,29.33150850209528,1219562.0512999375,22.430480812842468,1480425.9499501705,29.083910149106174,1218946.553876791,22.25850336422242,747.5293764567468,615.4974231466185,0.2475983529891046,0.17197744862004782
female,58,-69.6701326245493,3.021761305970358,-310.7952586487954,-6.50672883180107,0.04308674639459298,-2.6620014816222834,0.0020274839096821873,0.00333979254389614,0.0059606566350136805,0.002076836114812,0.00333979254389614,0.00619016182423335,1.8683386246585835e-4,4.691055537122009e-5,4.849874668665839e-5,1.9136291653971393e-4,4.691055537122009e-5,5.0334249184005694e-5,0.008544433320055191,0.014928988382485946,0.03264765092551694,0.008751537445686377,0.014928988382485946,0.033883212883040574,1475472.1668871026,28.438517152165954,1212328.6012888658,21.68882838420597,1474553.6796499845,28.193249071895178,1211573.9219580952,21.51869604626363,918.4872371181846,754.6793307706248,0.24526808027077607,0.17013233794233784
female,59,-74.81345027394673,3.9143349053883867,-308.3007300412064,-8.19848743057048,0.0654730534608774,-3.2739172726935095,0.0022067624350498014,0.00361799669324258,0.006033488410565205,0.00226047856657975,0.00361799669324258,0.00626579786640392,2.3791539376435527e-4,5.941724110710326e-5,6.0298295997122176e-5,2.4367788916242208e-4,5.941724110710326e-5,6.257339462554767e-5,0.010345862582540917,0.018162304223749835,0.038345806380025146,0.010596413661535168,0.018162304223749835,0.039792572980944525,1469328.8956585552,27.55075216839417,1204727.229785082,20.95265200522892,1468226.9755383856,27.30790660424933,1203823.7471286536,20.78443365158095,1101.9201201696415,903.4826564283576,0.24284556414484015,0.1682183536479691
female,60,-80.13292439397219,4.978022346565012,-303.90600432814426,-10.100062566479892,0.09646989531991323,-3.9554062701343753,0.0023984938705195824,0.00391809704755909,0.0060741681359221525,0.00245687705222337,0.00391809704755909,0.00630804389705861,2.9647892816890955e-4,7.428598848927107e-5,7.369675070246851e-5,3.036535498587698e-4,7.428598848927107e-5,7.646880324561149e-5,0.012267542828888419,0.02164436125064667,0.044068475154102005,0.012564361000724845,0.02164436125064667,0.045726013076225064,1462710.6693004188,26.668301399600455,1196630.541485844,20.222003770460834,1461412.0408876888,26.427969601222554,1195568.1451737576,20.055766965037925,1298.6284127300605,1062.3963120863773,0.24033179837790186,0.16623680542290842
female,61,-85.62022316131925,6.243658124099966,-297.56272934650406,-12.215344014288917,0.1391453156890634,-4.711145558117124,0.0026036936019998846,0.00424332026604821,0.006079435006460308,0.00266707167377024,0.00424332026604821,0.00631351355970399,3.630635461632566e-4,9.21648983143014e-5,8.886530902772535e-5,3.718413516577743e-4,9.21648983143014e-5,9.21975659054261e-5,0.014313280865281122,0.025391350774143662,0.04978273440819109,0.014659263710647468,0.025391350774143662,0.05164938838466052,1455572.1156833258,25.791412743464935,1187899.0980061798,19.497124704882168,1454062.3726224205,25.55368811975599,1186666.9897506377,19.33293814127157,1509.7430609052535,1232.1082555421162,0.23772462370894587,0.16418656361059902
female,62,-91.24682911391756,7.751147958743786,-289.1028175859901,-14.558569965959578,0.19732914912850674,-5.546082731476673,0.002823015062070151,0.00459815740856261,0.006043226016932864,0.00289173176939518,0.00459815740856261,0.00627591040314063,4.386150385694463e-4,1.1361606530660837e-4,1.0599910669904974e-4,4.4920918570971773e-4,1.1361606530660837e-4,1.0996157236542014e-4,0.01648724643407225,0.02942143816829685,0.055453199347293106,0.016885376449849412,0.02942143816829685,0.05752603491040703,1447852.2252666904,24.920525640062806,1178378.6859222294,18.778469997383972,1446115.4185167295,24.68550743718422,1176965.1327846895,18.61640632845513,1736.8067499608733,1413.553137539886,0.23501820287858521,0.16206366892884105
