Year,Smoking Prevalence (Men),Smoking Prevalence (Men)',Smoking Prevalence (Women),Smoking Prevalence (Women)',IHD Deaths (Men),IHD Deaths (Women),RR (Men),RR (Women),RR no smoking
2012,0.219,0,0.174,0,2884,683,3.04,3.78,1
2013,0.192,0,0.18,0,2914,713,3.04,3.78,1
2014,0.184,0,0.173,0,2855,694,3.04,3.78,1
2015,0.171,0,0.152,0,2915,724,3.04,3.78,1
2016,0.159,0,0.132,0,2948,731,3.04,3.78,1
2017,0.191,0,0.149,0,3033,740,3.04,3.78,1
2018,0.147,0,0.159,0,3131,761,3.04,3.78,1
2019,0.197,0,0.14,0,3173,774,3.04,3.78,1
2020,0.163,0,0.156,0,3477,814,3.04,3.78,1
2021,0.159,0,0.133,0,3568,853,3.04,3.78,1
2022,0.177,0,0.122,0,3632,900,3.04,3.78,1
2023,0.154,0,0.126,0,3882,959,3.04,3.78,1
,,,,,,,,,
Calculations,,,,,,,,,
,,,,,,,,,
Potential Impact Fraction,,,,,,,,,
,Males,,,Females,,,,,
,sum(p*RR),sum(p'*RR),PIF,sum(p*RR),sum(p'*RR),PIF,,,
2012,1.44676,1,0.309,1.484,1.000,0.326,,,
2013,1.39168,1,0.281,1.500,1.000,0.334,,,
2014,1.37536,1,0.273,1.481,1.000,0.325,,,
2015,1.34884,1,0.259,1.423,1.000,0.297,,,
2016,1.32436,1,0.245,1.367,1.000,0.268,,,
2017,1.38964,1,0.280,1.414,1.000,0.293,,,
2018,1.29988,1,0.231,1.442,1.000,0.307,,,
2019,1.40188,1,0.287,1.389,1.000,0.280,,,
2020,1.33252,1,0.250,1.434,1.000,0.302,,,
2021,1.32436,1,0.245,1.370,1.000,0.270,,,
2022,1.36108,1,0.265,1.339,1.000,0.253,,,
2023,1.31416,1,0.239,1.350,1.000,0.259,,,
Burden of disease,,,,,,,,,
,Males,Females,,,,,,,
2012,891,223,,,,,,,
2013,820,238,,,,,,,
2014,779,225,,,,,,,
2015,754,215,,,,,,,
2016,722,196,,,,,,,
2017,850,217,,,,,,,
2018,722,233,,,,,,,
2019,910,217,,,,,,,
2020,868,246,,,,,,,
2021,874,230,,,,,,,
2022,964,228,,,,,,,
2023,928,249,,,,,,,
